NT\T,$,'(',')','-',':',';','EOF','False','IDENTIFIER','NUMBER','STRING','True','[',']','break','continue','def','do','for','if','in','not','range','while','{','}',('&' <comparisonExpr>),('**' <powerExpr>),(',' <expression> (',' <expression>)?),('=' <expression>),('IDENTIFIER' (',' 'IDENTIFIER')*),('[' <expression> ']' | '(' (<expression> (',' <expression>)*)? ')'),('and' <logicalNotExpr>),('else' ':' <block>),('or' <logicalAndExpr>),('|' <bitwiseAndExpr>),(('*' | '/' | '%') <powerExpr>),(('+' | '-') <multiplicativeExpr>),(('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>),(<expression> (',' <expression>)*)
<additiveExpr>,,"<multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *",,"<multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *",,,,"<multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *","<multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *","<multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *","<multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *","<multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *","<multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *",,,,,,,,,,,,,,,,,,,,,,,,,,,
<bitwiseAndExpr>,,"<comparisonExpr> ('&' <comparisonExpr>) *",,"<comparisonExpr> ('&' <comparisonExpr>) *",,,,"<comparisonExpr> ('&' <comparisonExpr>) *","<comparisonExpr> ('&' <comparisonExpr>) *","<comparisonExpr> ('&' <comparisonExpr>) *","<comparisonExpr> ('&' <comparisonExpr>) *","<comparisonExpr> ('&' <comparisonExpr>) *","<comparisonExpr> ('&' <comparisonExpr>) *",,,,,,,,,,,,,,,,,,,,,,,,,,,
<bitwiseOrExpr>,,"<bitwiseAndExpr> ('|' <bitwiseAndExpr>) *",,"<bitwiseAndExpr> ('|' <bitwiseAndExpr>) *",,,,"<bitwiseAndExpr> ('|' <bitwiseAndExpr>) *","<bitwiseAndExpr> ('|' <bitwiseAndExpr>) *","<bitwiseAndExpr> ('|' <bitwiseAndExpr>) *","<bitwiseAndExpr> ('|' <bitwiseAndExpr>) *","<bitwiseAndExpr> ('|' <bitwiseAndExpr>) *","<bitwiseAndExpr> ('|' <bitwiseAndExpr>) *",,,,,,,,,,,,,,,,,,,,,,,,,,,
<block>,,"<statement>",,"<statement>",,,,"<statement>","<statement>","<statement>","<statement>","<statement>","<statement>",,"<statement>","<statement>","<statement>","<statement>","<statement>","<statement>",,"<statement>",,"<statement>","'{' <statement> * '}'",,,,,,,,,,,,,,,
<breakStatement>,,,,,,,,,,,,,,,"'break' ';' ?",,,,,,,,,,,,,,,,,,,,,,,,,
<comparisonExpr>,,"<additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *",,"<additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *",,,,"<additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *","<additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *","<additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *","<additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *","<additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *","<additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *",,,,,,,,,,,,,,,,,,,,,,,,,,,
<continueStatement>,,,,,,,,,,,,,,,,"'continue' ';' ?",,,,,,,,,,,,,,,,,,,,,,,,
<defStatement>,,,,,,,,,,,,,,,,,"'def' 'IDENTIFIER' '(' ('IDENTIFIER' (';' 'IDENTIFIER')*) ? ')' ':' '{' <statement> * '}' ';' ?",,,,,,,,,,,,,,,,,,,,,,,
<doWhileStatement>,,,,,,,,,,,,,,,,,,"'do' ':' <block> 'while' <expression> ';' ?",,,,,,,,,,,,,,,,,,,,,,
<expression>,,"<logicalOrExpr> ('=' <expression>) ?",,"<logicalOrExpr> ('=' <expression>) ?",,,,"<logicalOrExpr> ('=' <expression>) ?","<logicalOrExpr> ('=' <expression>) ?","<logicalOrExpr> ('=' <expression>) ?","<logicalOrExpr> ('=' <expression>) ?","<logicalOrExpr> ('=' <expression>) ?","<logicalOrExpr> ('=' <expression>) ?",,,,,,,,,"<logicalOrExpr> ('=' <expression>) ?",,,,,,,,,,,,,,,,,,
<expressionStatement>,,"<expression> ';' ?",,"<expression> ';' ?",,,,"<expression> ';' ?","<expression> ';' ?","<expression> ';' ?","<expression> ';' ?","<expression> ';' ?","<expression> ';' ?",,,,,,,,,"<expression> ';' ?",,,,,,,,,,,,,,,,,,
<forStatement>,,,,,,,,,,,,,,,,,,,"'for' 'IDENTIFIER' 'in' 'range' '(' <expression> (';' <expression> (';' <expression>)?) ? ')' ':' <block>",,,,,,,,,,,,,,,,,,,,,
<ifStatement>,,,,,,,,,,,,,,,,,,,,"'if' <expression> ':' <block> ('else' ':' <block>) ?",,,,,,,,,,,,,,,,,,,,
<logicalAndExpr>,,"<logicalNotExpr> ('and' <logicalNotExpr>) *",,"<logicalNotExpr> ('and' <logicalNotExpr>) *",,,,"<logicalNotExpr> ('and' <logicalNotExpr>) *","<logicalNotExpr> ('and' <logicalNotExpr>) *","<logicalNotExpr> ('and' <logicalNotExpr>) *","<logicalNotExpr> ('and' <logicalNotExpr>) *","<logicalNotExpr> ('and' <logicalNotExpr>) *","<logicalNotExpr> ('and' <logicalNotExpr>) *",,,,,,,,,"<logicalNotExpr> ('and' <logicalNotExpr>) *",,,,,,,,,,,,,,,,,,
<logicalNotExpr>,,"<bitwiseOrExpr>",,"<bitwiseOrExpr>",,,,"<bitwiseOrExpr>","<bitwiseOrExpr>","<bitwiseOrExpr>","<bitwiseOrExpr>","<bitwiseOrExpr>","<bitwiseOrExpr>",,,,,,,,,"'not' <logicalNotExpr>",,,,,,,,,,,,,,,,,,
<logicalOrExpr>,,"<logicalAndExpr> ('or' <logicalAndExpr>) *",,"<logicalAndExpr> ('or' <logicalAndExpr>) *",,,,"<logicalAndExpr> ('or' <logicalAndExpr>) *","<logicalAndExpr> ('or' <logicalAndExpr>) *","<logicalAndExpr> ('or' <logicalAndExpr>) *","<logicalAndExpr> ('or' <logicalAndExpr>) *","<logicalAndExpr> ('or' <logicalAndExpr>) *","<logicalAndExpr> ('or' <logicalAndExpr>) *",,,,,,,,,"<logicalAndExpr> ('or' <logicalAndExpr>) *",,,,,,,,,,,,,,,,,,
<multiplicativeExpr>,,"<powerExpr> (('*' | '/' | '%') <powerExpr>) *",,"<powerExpr> (('*' | '/' | '%') <powerExpr>) *",,,,"<powerExpr> (('*' | '/' | '%') <powerExpr>) *","<powerExpr> (('*' | '/' | '%') <powerExpr>) *","<powerExpr> (('*' | '/' | '%') <powerExpr>) *","<powerExpr> (('*' | '/' | '%') <powerExpr>) *","<powerExpr> (('*' | '/' | '%') <powerExpr>) *","<powerExpr> (('*' | '/' | '%') <powerExpr>) *",,,,,,,,,,,,,,,,,,,,,,,,,,,
<postfixExpr>,,"<primary> ('[' <expression> ']' | '(' (<expression> (';' <expression>)*)? ')') *",,,,,,"<primary> ('[' <expression> ']' | '(' (<expression> (';' <expression>)*)? ')') *","<primary> ('[' <expression> ']' | '(' (<expression> (';' <expression>)*)? ')') *","<primary> ('[' <expression> ']' | '(' (<expression> (';' <expression>)*)? ')') *","<primary> ('[' <expression> ']' | '(' (<expression> (';' <expression>)*)? ')') *","<primary> ('[' <expression> ']' | '(' (<expression> (';' <expression>)*)? ')') *","<primary> ('[' <expression> ']' | '(' (<expression> (';' <expression>)*)? ')') *",,,,,,,,,,,,,,,,,,,,,,,,,,,
<powerExpr>,,"<unaryExpr> ('**' <powerExpr>) ?",,"<unaryExpr> ('**' <powerExpr>) ?",,,,"<unaryExpr> ('**' <powerExpr>) ?","<unaryExpr> ('**' <powerExpr>) ?","<unaryExpr> ('**' <powerExpr>) ?","<unaryExpr> ('**' <powerExpr>) ?","<unaryExpr> ('**' <powerExpr>) ?","<unaryExpr> ('**' <powerExpr>) ?",,,,,,,,,,,,,,,,,,,,,,,,,,,
<primary>,,"'(' <expression> ')'",,,,,,"'False'","'IDENTIFIER'","'NUMBER'","'STRING'","'True'","'[' (<expression> (';' <expression>)*) ? ']'",,,,,,,,,,,,,,,,,,,,,,,,,,,
<program>,,"<statement> * 'EOF'",,"<statement> * 'EOF'",,,"<statement> * 'EOF'","<statement> * 'EOF'","<statement> * 'EOF'","<statement> * 'EOF'","<statement> * 'EOF'","<statement> * 'EOF'","<statement> * 'EOF'",,"<statement> * 'EOF'","<statement> * 'EOF'","<statement> * 'EOF'","<statement> * 'EOF'","<statement> * 'EOF'","<statement> * 'EOF'",,"<statement> * 'EOF'",,"<statement> * 'EOF'",,,,,,,,,,,,,,,,
<statement>,,"<expressionStatement>",,"<expressionStatement>",,,,"<expressionStatement>","<expressionStatement>","<expressionStatement>","<expressionStatement>","<expressionStatement>","<expressionStatement>",,"<breakStatement>","<continueStatement>","<defStatement>","<doWhileStatement>","<forStatement>","<ifStatement>",,"<expressionStatement>",,"<whileStatement>",,,,,,,,,,,,,,,,
<unaryExpr>,,"<postfixExpr>",,"'-' <unaryExpr>",,,,"<postfixExpr>","<postfixExpr>","<postfixExpr>","<postfixExpr>","<postfixExpr>","<postfixExpr>",,,,,,,,,,,,,,,,,,,,,,,,,,,
<whileStatement>,,,,,,,,,,,,,,,,,,,,,,,,"'while' <expression> ':' <block>",,,,,,,,,,,,,,,,
